iter	Passed	Remaining
880	17523	2367
881	17540	2346
882	17560	2326
883	17577	2306
884	17597	2286
885	17616	2266
886	17639	2247
887	17660	2227
888	17678	2207
889	17700	2187
890	17719	2167
891	17737	2147
892	17757	2127
893	17779	2108
894	17799	2088
895	17819	2068
896	17843	2048
897	17865	2029
898	17885	2009
899	17904	1989
900	17924	1969
901	17942	1949
902	17962	1929
903	17981	1909
904	17998	1889
905	18017	1869
906	18036	1849
907	18054	1829
908	18078	1809
909	18096	1789
910	18115	1769
911	18136	1750
912	18157	1730
913	18175	1710
914	18194	1690
915	18214	1670
916	18233	1650
917	18254	1630
918	18274	1610
919	18293	1590
920	18314	1570
921	18333	1550
922	18352	1530
923	18371	1511
924	18389	1491
925	18409	1471
926	18429	1451
927	18448	1431
928	18468	1411
929	18488	1391
930	18509	1371
931	18530	1351
932	18549	1332
933	18566	1312
934	18586	1292
935	18606	1272
936	18626	1252
937	18646	1232
938	18668	1212
939	18687	1192
940	18707	1172
941	18729	1153
942	18749	1133
943	18769	1113
944	18788	1093
945	18809	1073
946	18828	1053
947	18849	1033
948	18871	1014
949	18889	994
950	18907	974
951	18927	954
952	18950	934
953	18970	914
954	18987	894
955	19006	874
956	19023	854
957	19042	834
958	19061	814
959	19080	795
960	19099	775
961	19117	755
962	19135	735
963	19154	715
964	19176	695
965	19196	675
966	19218	655
967	19237	635
968	19257	616
969	19277	596
970	19295	576
971	19314	556
972	19335	536
973	19353	516
974	19376	496
975	19396	476
976	19415	457
977	19434	437
978	19457	417
979	19476	397
980	19495	377
981	19515	357
982	19534	337
983	19555	317
984	19581	298
985	19600	278
986	19619	258
987	19637	238
988	19656	218
989	19674	198
990	19695	178
991	19713	158
992	19732	139
993	19751	119
994	19770	99
995	19808	79
996	19828	59
997	19849	39
998	19867	19
999	19888	0
